Domain,Base Domain,domain,status_code,usa_classes_detected,uswds_detected,usa_detected,flag_detected,flagincss_detected,sourcesansfont_detected,uswdsincss_detected,merriweatherfont_detected,publicsansfont_detected,uswdsversion,tables,total_score
ucia.gov,ucia.gov,ucia.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
abmc.gov,abmc.gov,abmc.gov,400,0,0,0,0,0,0,0,0,0,,0,0
afrh.gov,afrh.gov,afrh.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
asc.gov,asc.gov,asc.gov,404,0,0,0,0,0,0,0,0,0,,0,0
ic.gov,ic.gov,ic.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
istac.gov,istac.gov,istac.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
df.gov,df.gov,df.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerfinancialbureau.gov,consumerfinancialbureau.gov,consumerfinancialbureau.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
goldwaterscholarship.gov,goldwaterscholarship.gov,goldwaterscholarship.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
opensource.gov,opensource.gov,opensource.gov,503,0,0,0,0,0,0,0,0,0,,0,0
voa.gov,voa.gov,voa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ttic.gov,ttic.gov,ttic.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nctc.gov,nctc.gov,nctc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mimm.gov,mimm.gov,mimm.gov,200,0,0,0,0,0,0,0,0,0,,0,0
recalls.gov,recalls.gov,recalls.gov,200,0,0,0,0,0,0,0,0,0,,-40,0
saferproducts.gov,saferproducts.gov,saferproducts.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cpsc.gov,cpsc.gov,cpsc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
odci.gov,odci.gov,odci.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cncsoig.gov,cncsoig.gov,cncsoig.gov,404,0,0,0,0,0,0,0,0,0,,0,0
cigie.gov,cigie.gov,cigie.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
arc.gov,arc.gov,arc.gov,200,0,0,0,0,0,0,0,0,0,,-100,0
consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
csosa.fed.us,csosa.fed.us,csosa.fed.us,-1,0,0,0,0,0,0,0,0,0,,0,0
saferproduct.gov,saferproduct.gov,saferproduct.gov,200,0,0,0,0,0,0,0,0,0,,0,0
pretrialservices.gov,pretrialservices.gov,pretrialservices.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
dnfsb.gov,dnfsb.gov,dnfsb.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerfinancial.gov,consumerfinancial.gov,consumerfinancial.gov,200,0,0,0,0,0,0,0,0,0,,0,0
capnhq.gov,capnhq.gov,capnhq.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
consumerfinance.gov,consumerfinance.gov,consumerfinance.gov,200,0,0,0,0,0,0,0,0,0,,0,0
atvsafety.gov,atvsafety.gov,atvsafety.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bcfp.gov,bcfp.gov,bcfp.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cfpa.gov,cfpa.gov,cfpa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
consumerprotectionbureau.gov,consumerprotectionbureau.gov,consumerprotectionbureau.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bldrdoc.gov,bldrdoc.gov,bldrdoc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerbureau.gov,consumerbureau.gov,consumerbureau.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cfpb.gov,cfpb.gov,cfpb.gov,200,0,0,0,0,0,0,0,0,0,,0,0
consumerprotection.gov,consumerprotection.gov,consumerprotection.gov,200,0,0,0,0,0,0,0,0,0,,0,0
psa.gov,psa.gov,psa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ignet.gov,ignet.gov,ignet.gov,200,0,0,0,0,0,0,0,0,0,,0,0
digitalliteracy.gov,digitalliteracy.gov,digitalliteracy.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
seguridadconsumidor.gov,seguridadconsumidor.gov,seguridadconsumidor.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nationalservice.gov,nationalservice.gov,nationalservice.gov,200,0,0,0,0,0,0,0,0,0,,0,0
drywallresponse.gov,drywallresponse.gov,drywallresponse.gov,200,0,0,0,0,0,0,0,0,0,,0,0
usagm.gov,usagm.gov,usagm.gov,200,10,0,0,20,0,0,0,0,0,,0,30
serve.gov,serve.gov,serve.gov,200,0,0,0,0,0,0,0,0,0,,0,0
americorps.gov,americorps.gov,americorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
seniorcorps.gov,seniorcorps.gov,seniorcorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
aviationweather.gov,aviationweather.gov,aviationweather.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mlkday.gov,mlkday.gov,mlkday.gov,200,0,0,0,0,0,0,0,0,0,,0,0
volunteeringinamerica.gov,volunteeringinamerica.gov,volunteeringinamerica.gov,200,0,0,0,0,0,0,0,0,0,,0,0
buyusa.gov,buyusa.gov,buyusa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
fishwatch.gov,fishwatch.gov,fishwatch.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cns.gov,cns.gov,cns.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cncs.gov,cncs.gov,cncs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cia.gov,cia.gov,cia.gov,200,0,0,0,0,0,0,0,0,0,,0,0
luca-appeals.gov,luca-appeals.gov,luca-appeals.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
bbg.gov,bbg.gov,bbg.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
joinamericorps.gov,joinamericorps.gov,joinamericorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cap.gov,cap.gov,cap.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
acus.gov,acus.gov,acus.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cep.gov,cep.gov,cep.gov,200,0,0,0,0,0,0,0,0,0,,0,0
denali.gov,denali.gov,denali.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nwirp.gov,nwirp.gov,nwirp.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ofcm.gov,ofcm.gov,ofcm.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
dra.gov,dra.gov,dra.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mgi.gov,mgi.gov,mgi.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
bea.gov,bea.gov,bea.gov,200,10,0,0,20,20,0,0,0,0,,-10,40
safetyvideos.gov,safetyvideos.gov,safetyvideos.gov,200,0,0,0,0,0,0,0,0,0,,0,0
commerce.gov,commerce.gov,commerce.gov,200,50,7,2,20,0,5,20,5,0,,0,109
marinecadastre.gov,marinecadastre.gov,marinecadastre.gov,200,0,0,0,0,0,0,0,0,0,,0,0
sdr.gov,sdr.gov,sdr.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ntia.gov,ntia.gov,ntia.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
oversight.gov,oversight.gov,oversight.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ap.gov,ap.gov,ap.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
2020census.gov,2020census.gov,2020census.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
presidentialserviceawards.gov,presidentialserviceawards.gov,presidentialserviceawards.gov,200,40,0,0,0,0,0,0,0,0,,0,40
ibb.gov,ibb.gov,ibb.gov,200,0,0,0,20,20,0,0,5,0,,0,45
time.gov,time.gov,time.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
poolsafely.gov,poolsafely.gov,poolsafely.gov,200,0,0,0,0,0,0,0,0,0,,0,0
fea.gov,fea.gov,fea.gov,200,0,0,0,0,0,0,0,0,0,,0,0
pscr.gov,pscr.gov,pscr.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
csosa.gov,csosa.gov,csosa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
manufacturing.gov,manufacturing.gov,manufacturing.gov,200,35,11,0,0,0,0,0,0,0,,0,46
mbda.gov,mbda.gov,mbda.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
my2020census.gov,my2020census.gov,my2020census.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
export.gov,export.gov,export.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
sworm.gov,sworm.gov,sworm.gov,500,0,0,0,0,0,0,0,0,0,,0,0
goes-r.gov,goes-r.gov,goes-r.gov,200,0,0,0,0,0,0,0,0,0,,0,0
dc3on.gov,dc3on.gov,dc3on.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
mentor.gov,mentor.gov,mentor.gov,200,0,0,0,0,0,0,0,0,0,,0,0
dod.gov,dod.gov,dod.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cnss.gov,cnss.gov,cnss.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nehrp.gov,nehrp.gov,nehrp.gov,200,0,0,0,0,0,0,0,0,0,,0,0
ctoc.gov,ctoc.gov,ctoc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
itc.gov,itc.gov,itc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
vistacampus.gov,vistacampus.gov,vistacampus.gov,200,0,0,0,0,0,5,0,0,0,,0,5
doc.gov,doc.gov,doc.gov,200,50,7,2,20,0,5,20,5,0,,0,109
cttso.gov,cttso.gov,cttso.gov,200,0,0,0,0,0,0,0,0,0,,0,0
climate.gov,climate.gov,climate.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mtmc.gov,mtmc.gov,mtmc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ioss.gov,ioss.gov,ioss.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nationalmall.gov,nationalmall.gov,nationalmall.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
abmcscholar.gov,abmcscholar.gov,abmcscholar.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
osde.gov,osde.gov,osde.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
jccs.gov,jccs.gov,jccs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ntis.gov,ntis.gov,ntis.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nro.gov,nro.gov,nro.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nist.gov,nist.gov,nist.gov,200,75,0,0,0,0,5,0,5,0,,0,85
earthsystemprediction.gov,earthsystemprediction.gov,earthsystemprediction.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nbis.gov,nbis.gov,nbis.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
siteidiq.gov,siteidiq.gov,siteidiq.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
usandc.gov,usandc.gov,usandc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
drought.gov,drought.gov,drought.gov,200,0,0,0,0,0,5,0,0,0,,0,5
iad.gov,iad.gov,iad.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
tswg.gov,tswg.gov,tswg.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
pentagon.gov,pentagon.gov,pentagon.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nsep.gov,nsep.gov,nsep.gov,200,0,0,0,0,0,0,0,0,0,,0,0
privacyshield.gov,privacyshield.gov,privacyshield.gov,200,0,0,0,0,0,5,0,0,0,,0,5
mojavedata.gov,mojavedata.gov,mojavedata.gov,200,0,0,0,0,0,0,0,0,0,,0,0
eda.gov,eda.gov,eda.gov,200,0,0,0,0,0,0,0,0,0,,0,0
whistleblower.gov,whistleblower.gov,whistleblower.gov,200,0,0,0,0,0,0,0,0,0,,0,0
budgetlob.gov,budgetlob.gov,budgetlob.gov,200,0,0,0,0,0,0,0,0,0,,-60,0
tsunami.gov,tsunami.gov,tsunami.gov,200,0,0,0,0,0,0,0,0,0,,0,0
adlnet.gov,adlnet.gov,adlnet.gov,200,55,6,0,20,0,5,20,0,0,,0,106
anl.gov,anl.gov,anl.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
spectrum.gov,spectrum.gov,spectrum.gov,200,0,0,0,0,0,0,0,0,0,,0,0
ameslab.gov,ameslab.gov,ameslab.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
firstnet.gov,firstnet.gov,firstnet.gov,200,0,0,0,0,0,0,0,0,0,,0,0
biomassboard.gov,biomassboard.gov,biomassboard.gov,403,0,0,0,0,0,0,0,0,0,,0,0
stopfakes.gov,stopfakes.gov,stopfakes.gov,200,0,0,0,0,0,5,0,0,0,,0,5
studentaid.gov,studentaid.gov,studentaid.gov,200,0,0,0,0,0,0,0,0,0,,0,0
g5.gov,g5.gov,g5.gov,200,0,0,0,0,0,0,0,0,0,,0,0
aftac.gov,aftac.gov,aftac.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
childstats.gov,childstats.gov,childstats.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cebaf.gov,cebaf.gov,cebaf.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cftc.gov,cftc.gov,cftc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
doe.gov,doe.gov,doe.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cendi.gov,cendi.gov,cendi.gov,403,0,0,0,0,0,0,0,0,0,,0,0
energysaver.gov,energysaver.gov,energysaver.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
standards.gov,standards.gov,standards.gov,200,75,0,0,0,0,0,0,0,0,,0,75
poolsafety.gov,poolsafety.gov,poolsafety.gov,200,0,0,0,0,0,0,0,0,0,,0,0
collegenavigator.gov,collegenavigator.gov,collegenavigator.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
energysavers.gov,energysavers.gov,energysavers.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
selectusa.gov,selectusa.gov,selectusa.gov,200,0,0,0,0,0,5,0,0,0,,0,5
census.gov,census.gov,census.gov,200,0,0,0,0,0,0,0,0,0,,0,0
hydrogen.gov,hydrogen.gov,hydrogen.gov,403,0,0,0,0,0,0,0,0,0,,0,0
spaceweather.gov,spaceweather.gov,spaceweather.gov,200,0,0,0,0,0,0,0,0,0,,-80,0
inel.gov,inel.gov,inel.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
anchorit.gov,anchorit.gov,anchorit.gov,200,0,0,0,0,0,0,0,0,0,,0,0
hurricanes.gov,hurricanes.gov,hurricanes.gov,200,0,0,0,0,0,0,0,0,0,,-190,0
eia.gov,eia.gov,eia.gov,200,0,0,0,0,0,0,0,0,0,,0,0
noaa.gov,noaa.gov,noaa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
isotope.gov,isotope.gov,isotope.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
altusandc.gov,altusandc.gov,altusandc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cmts.gov,cmts.gov,cmts.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nagb.gov,nagb.gov,nagb.gov,200,0,0,0,0,0,0,0,0,0,,0,0
ed.gov,ed.gov,ed.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nrelhub.gov,nrelhub.gov,nrelhub.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
casl.gov,casl.gov,casl.gov,200,0,0,0,0,0,0,0,0,0,,0,0
ntrc.gov,ntrc.gov,ntrc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ncrc.gov,ncrc.gov,ncrc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
weather.gov,weather.gov,weather.gov,200,0,0,0,0,0,0,0,0,0,,0,0
papahanaumokuakea.gov,papahanaumokuakea.gov,papahanaumokuakea.gov,200,0,2,0,0,0,5,0,5,0,,0,12
lbl.gov,lbl.gov,lbl.gov,403,0,0,0,0,0,0,0,0,0,,0,0
edpubs.gov,edpubs.gov,edpubs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
energy.gov,energy.gov,energy.gov,200,0,0,0,0,0,0,0,0,0,,0,0
dnsops.gov,dnsops.gov,dnsops.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
pppo.gov,pppo.gov,pppo.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
lanl.gov,lanl.gov,lanl.gov,200,0,0,0,0,0,0,0,0,0,,0,0
xd.gov,xd.gov,xd.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
isotopes.gov,isotopes.gov,isotopes.gov,200,0,0,0,0,0,0,0,0,0,,0,0
rl.gov,rl.gov,rl.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
hanford.gov,hanford.gov,hanford.gov,200,0,0,0,0,0,0,0,0,0,,-40,0
fueleconomy.gov,fueleconomy.gov,fueleconomy.gov,200,0,0,0,0,0,0,0,0,0,,0,0
buildingamerica.gov,buildingamerica.gov,buildingamerica.gov,200,0,0,0,0,0,0,0,0,0,,0,0
solardecathlon.gov,solardecathlon.gov,solardecathlon.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
srs.gov,srs.gov,srs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
energycodes.gov,energycodes.gov,energycodes.gov,200,0,0,0,0,0,0,0,0,0,,-20,0
homeenergyscore.gov,homeenergyscore.gov,homeenergyscore.gov,200,0,0,0,0,0,0,0,0,0,,0,0
osti.gov,osti.gov,osti.gov,200,0,0,0,0,0,0,0,0,0,,0,0
unnpp.gov,unnpp.gov,unnpp.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
amtrakoig.gov,amtrakoig.gov,amtrakoig.gov,200,0,0,0,0,0,0,0,0,0,,0,0
wapa.gov,wapa.gov,wapa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ymp.gov,ymp.gov,ymp.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
doeal.gov,doeal.gov,doeal.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
fafsa.gov,fafsa.gov,fafsa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
defense.gov,defense.gov,defense.gov,200,0,0,0,0,0,0,0,0,0,,0,0
science.gov,science.gov,science.gov,200,0,0,0,0,0,0,0,0,0,,0,0
scidac.gov,scidac.gov,scidac.gov,200,0,0,0,0,0,0,0,0,0,,0,0
salmonrecovery.gov,salmonrecovery.gov,salmonrecovery.gov,200,0,0,0,0,0,0,0,0,0,,-20,0
sandia.gov,sandia.gov,sandia.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bam.gov,bam.gov,bam.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
uspto.gov,uspto.gov,uspto.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bioethics.gov,bioethics.gov,bioethics.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
csb.gov,csb.gov,csb.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nsa.gov,nsa.gov,nsa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
businessdefense.gov,businessdefense.gov,businessdefense.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
fvap.gov,fvap.gov,fvap.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
agingstats.gov,agingstats.gov,agingstats.gov,200,0,0,0,0,0,0,0,0,0,,0,0
arm.gov,arm.gov,arm.gov,200,0,0,0,0,0,0,0,5,0,,0,5
cdcpartners.gov,cdcpartners.gov,cdcpartners.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
childcare.gov,childcare.gov,childcare.gov,400,0,0,0,0,0,0,0,0,0,,0,0
clinicaltrial.gov,clinicaltrial.gov,clinicaltrial.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nuclear.gov,nuclear.gov,nuclear.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
smartgrid.gov,smartgrid.gov,smartgrid.gov,200,0,0,0,0,0,0,0,0,0,,0,0
highperformancebuildings.gov,highperformancebuildings.gov,highperformancebuildings.gov,200,0,0,0,0,0,0,0,0,0,,0,0
alzheimers.gov,alzheimers.gov,alzheimers.gov,200,0,0,0,0,0,5,0,5,0,,0,10
nationsreportcard.gov,nationsreportcard.gov,nationsreportcard.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
acl.gov,acl.gov,acl.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bnl.gov,bnl.gov,bnl.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cdc.gov,cdc.gov,cdc.gov,200,0,0,0,0,0,0,0,5,0,,0,5
nrel.gov,nrel.gov,nrel.gov,200,0,0,0,0,0,0,0,0,0,,0,0
aids.gov,aids.gov,aids.gov,200,0,0,0,0,0,5,0,5,0,,0,10
bpa.gov,bpa.gov,bpa.gov,200,0,0,0,0,0,0,0,0,0,,-280,0
eldercare.gov,eldercare.gov,eldercare.gov,200,0,0,0,0,0,0,0,0,0,,0,0
endingthedocumentgame.gov,endingthedocumentgame.gov,endingthedocumentgame.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ahcpr.gov,ahcpr.gov,ahcpr.gov,200,20,0,0,0,0,5,20,5,20,,0,70
fda.gov,fda.gov,fda.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ahrq.gov,ahrq.gov,ahrq.gov,200,20,0,0,0,0,5,20,5,20,,0,70
flu.gov,flu.gov,flu.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cancer.gov,cancer.gov,cancer.gov,200,0,0,0,0,0,0,0,0,0,,0,0
fatherhood.gov,fatherhood.gov,fatherhood.gov,200,0,0,0,0,0,0,0,0,0,,0,0
neup.gov,neup.gov,neup.gov,200,0,0,0,0,0,0,0,0,0,,-50,0
fruitsandveggiesmatter.gov,fruitsandveggiesmatter.gov,fruitsandveggiesmatter.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
orau.gov,orau.gov,orau.gov,200,55,0,0,0,0,0,0,0,0,,0,55
unrpnet.gov,unrpnet.gov,unrpnet.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
swpa.gov,swpa.gov,swpa.gov,200,0,0,0,0,0,0,0,0,0,,-420,0
acf.gov,acf.gov,acf.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nationalresourcedirectory.gov,nationalresourcedirectory.gov,nationalresourcedirectory.gov,200,0,0,0,0,0,0,0,0,0,,0,0
afterschool.gov,afterschool.gov,afterschool.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
donaciondeorganos.gov,donaciondeorganos.gov,donaciondeorganos.gov,200,0,0,0,0,0,0,0,5,0,,0,5
diabetescommittee.gov,diabetescommittee.gov,diabetescommittee.gov,200,0,0,0,0,0,0,0,5,0,,0,5
cuidadodesalud.gov,cuidadodesalud.gov,cuidadodesalud.gov,200,0,0,0,0,0,0,0,0,0,,0,0
ornl.gov,ornl.gov,ornl.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cms.gov,cms.gov,cms.gov,200,0,0,0,0,0,0,0,0,0,,0,0
smartcheck.gov,smartcheck.gov,smartcheck.gov,200,0,0,0,0,0,0,0,0,0,,0,0
betobaccofree.gov,betobaccofree.gov,betobaccofree.gov,200,55,22,4,0,0,5,20,5,0,,0,111
nrd.gov,nrd.gov,nrd.gov,200,0,0,0,0,0,0,0,0,0,,0,0
clinicaltrials.gov,clinicaltrials.gov,clinicaltrials.gov,200,5,0,0,0,0,5,20,5,0,,0,35
grantsolutions.gov,grantsolutions.gov,grantsolutions.gov,200,0,0,0,0,0,0,0,0,0,,0,0
erdc.gov,erdc.gov,erdc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
aging.gov,aging.gov,aging.gov,200,0,0,0,0,0,0,0,0,0,,0,0
hhsops.gov,hhsops.gov,hhsops.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
fnal.gov,fnal.gov,fnal.gov,200,0,0,0,0,0,0,0,0,0,,0,0
everytrycounts.gov,everytrycounts.gov,everytrycounts.gov,200,0,0,0,0,0,0,0,0,0,,0,0
sns.gov,sns.gov,sns.gov,200,0,0,0,0,0,0,0,0,0,,-20,0
edison.gov,edison.gov,edison.gov,200,0,0,0,0,0,0,0,0,0,,-90,0
collegedrinkingprevention.gov,collegedrinkingprevention.gov,collegedrinkingprevention.gov,200,0,0,0,0,0,0,0,0,0,,0,0
findtreatment.gov,findtreatment.gov,findtreatment.gov,200,0,0,0,0,0,0,0,0,20,,0,20
ihs.gov,ihs.gov,ihs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
health.gov,health.gov,health.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nrojr.gov,nrojr.gov,nrojr.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
hc.gov,hc.gov,hc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
childwelfare.gov,childwelfare.gov,childwelfare.gov,200,0,0,0,0,0,0,0,0,0,,0,0
